Shape,Orientation,WWR,Shading_depth,GlzU_Val,Wall_Mtrl,Wall_Thickness,Wall_Conductivity,Wall_Density,ExWall_SHC,ThermalLoads,Cooling Loads,Heating Loads
UShape,2.88370643599,0.110120443441,0.0,0.802588933608,str_TIP_Insulation,0.0869394438817,0.0476667146197,12.4738480733,795.057695746,242.167419,175.239622,66.927797
UShape,-0.920810176171,0.111693688764,0.0,0.814246491181,Concrete,0.225321274266,0.97100803911,2012.37567476,923.201500397,298.651466,204.452809,94.198656
UShape,-0.712055684057,0.0932846945155,0.00194190571243,0.797057068896,Brick,0.154094362169,0.904400792713,2252.38778961,888.502773675,315.944356,218.076418,97.867938
UShape,-5.49252479262,0.117226966514,0.140110793321,0.8059276776,str_TIP_Insulation,0.0949826101189,0.0443015316025,10.7770930613,814.169906291,240.956649,175.231237,65.725413
UShape,-0.336888214941,0.116382981202,0.15461381918,0.795686435468,Concrete,0.182612707624,1.17222112618,2045.58774741,1232.30380416,315.900661,215.461267,100.439394
UShape,5.85801850954,0.111555704096,0.153108936103,0.794747462123,Brick,0.177777108392,1.24709258745,1773.38142024,806.335641303,332.940195,230.554312,102.385883
UShape,2.10862622835,0.0890786228122,0.314839882165,0.780519352261,str_TIP_Insulation,0.0846288498666,0.0371485567912,10.339883406,780.072397721,232.455988,169.09956,63.356428
UShape,2.82458615948,0.0797997717273,0.303675506315,0.804210533964,Concrete,0.216457223962,1.18676389424,2046.73204062,1080.52918384,303.051619,208.318225,94.733393
UShape,0.13942383553,0.106789591072,0.300687527219,0.797657792329,Brick,0.137052317193,0.74060120179,1945.32817139,833.90759823,318.197467,220.348535,97.848932
UShape,-6.47902156918,0.114303392962,0.459654976524,0.808961639468,str_TIP_Insulation,0.0976196016623,0.0506454202112,9.97775433962,812.264981838,244.280447,178.253663,66.026784
UShape,0.18615854227,0.0984067090866,0.449319171113,0.807459618554,Concrete,0.189755025306,0.862934413572,1960.91822604,1123.37365289,297.783216,202.656381,95.126835
UShape,3.13484407936,0.114112206999,0.439548749661,0.800171309486,Brick,0.133085988145,1.19831829782,1738.01265908,835.613895712,339.488985,230.734266,108.754719
UShape,-0.35471143641,0.196091608159,0.0,0.810450502101,str_TIP_Insulation,0.0860481313237,0.046334495242,10.8941772369,798.423103409,258.899714,186.617173,72.282541
UShape,-0.984332666614,0.205923253182,0.00790572182705,0.800786564775,Concrete,0.221284358305,1.31586412671,2018.09584129,1089.64938263,317.41035,214.872534,102.537816
UShape,-5.21805366907,0.188767574232,0.0,0.796204202068,Brick,0.151828706984,0.496951764348,1605.30478562,941.612777572,307.171287,218.723062,88.448225
UShape,-3.3978459515,0.199364228439,0.161269140459,0.800082629994,str_TIP_Insulation,0.0882379708941,0.0462350081665,11.3319257656,797.340498012,260.434554,188.864785,71.569768
UShape,-0.610625062846,0.184845047479,0.145911802112,0.79041172989,Concrete,0.22265625149,1.18648443171,1960.84605213,959.847662358,311.919194,213.290838,98.628356
UShape,0.0399554076705,0.205443662195,0.156137318044,0.804687985058,Brick,0.164903787627,0.659971451306,1768.59361349,847.013151826,311.184804,216.310179,94.874626
UShape,3.05448410367,0.185268745242,0.30222790428,0.801389446667,str_TIP_Insulation,0.09275273952,0.0489861447075,10.8206550874,782.704813287,258.05329,187.382866,70.670424
UShape,-6.95231020579,0.203078753647,0.292628331427,0.790995464712,Concrete,0.213910051107,1.27075456785,1951.73669521,1000.44799683,320.633424,220.285568,100.347856
UShape,-2.81863129425,0.2075956537,0.282026295166,0.796123287013,Brick,0.185249579008,0.517468072444,1767.06664102,697.082347504,297.974715,207.971905,90.00281
UShape,4.80089943728,0.201314216003,0.466437571629,0.800559179341,str_TIP_Insulation,0.0862154499076,0.048336960013,12.1521542994,797.608260842,262.686238,190.617053,72.069185
UShape,-0.0343831781315,0.20815987385,0.448004145945,0.819162610868,Concrete,0.185639160578,1.31817752071,2020.54952597,1103.76598271,332.042632,232.498278,99.544354
UShape,-0.04525394443,0.204337778655,0.441356210369,0.790991024681,Brick,0.170704175585,0.812343566033,1751.74438489,850.580418551,324.098925,230.222206,93.876719
UShape,0.793112525271,0.301205323952,0.000160228472518,0.79675833216,str_TIP_Insulation,0.0914123947898,0.040721423736,12.5925183551,809.522829548,276.728739,200.188487,76.540252
UShape,-0.0511543726572,0.305998740085,0.0,0.805340395273,Concrete,0.204744961788,1.16904242665,2026.42925288,977.942399488,329.072884,229.620817,99.452067
UShape,2.10885868141,0.303292973687,0.0,0.79620176428,Brick,0.156345451323,0.758167951947,1944.01433995,829.981048382,327.817381,228.520043,99.297338
UShape,-1.08007928899,0.288168418876,0.14761274115,0.807194861793,str_TIP_Insulation,0.0891939440165,0.0502438926521,10.6516295131,834.696003618,278.423036,200.513594,77.909442
UShape,-3.78791585392,0.306926675818,0.143228840648,0.801636754492,Concrete,0.19723000208,0.960077129869,2013.13674156,838.784510151,326.059529,228.662411,97.397118
UShape,-3.34680223599,0.302808422106,0.156745337058,0.800505502562,Brick,0.162718040997,0.886940891393,1780.45734817,882.070961719,329.206858,225.349909,103.856949
UShape,0.495321312758,0.316630953185,0.292225044873,0.796129871335,str_TIP_Insulation,0.0876865084773,0.0426653368886,11.2302537536,838.342715661,281.524419,203.622829,77.90159
UShape,3.90446652702,0.300276643367,0.307928492939,0.805368031803,Concrete,0.235192093955,1.09333176197,2013.42302701,1088.34527186,318.830509,222.438882,96.391627
UShape,3.15989605523,0.293586571957,0.307909568779,0.817313990235,Brick,0.16298881154,0.895696037696,1514.34646403,969.559579801,335.715,234.861893,100.853107
